,AssetNumber,AssetIdentifier
0,75946582969,Spread 4B - NB
55,43132175891,Spread 5B - SB
193,99369489819,Spread 2 - SB
330,18357457077,Spread Burnaby to Westridge - SB
465,34592545857,Spread Reactivation Hinton to Hargraves - SB
602,35374012671,Spread 4B - SB
735,76957583556,Spread 3/4A - SB
870,59948387105,Spread 3/4A - NB
1003,78675781636,AP 5-D-98-A • NB • Macro Spiecapag JV
1138,71808680042,"AP 3-B-17-A, AP 3-B-Hwy 5-3, AP 3-B-Hwy 5-4 • NB • Ledcor Sicim LP • 517.5"
1273,55865047855,AP 4-A-9-A • NB • Ledcor Sicim LP • 621.7
1407,51881464571,MRPP-AP 31 • NB • Ledcor Sicim LP • 457.4
1540,21927890768,"AP 3-C-72-B, AP 3-C-73-A • NB • Ledcor Sicim LP • 597.2"
1675,97867950280,AP 4-A-22-A • NB • Ledcor Sicim LP • 641.1
1809,50538588386,AP 4-A-42-A • SB • Ledcor Sicim LP • 669.9
1944,33018599622,MRPP-AP 14 • SB • Ledcor Sicim LP • 422.8
2078,98502724062,"AP 4-B-112-A, AP 4-B-112-A-1 • NB • Ledcor Sicim LP • 723.9"
2213,19813765728,AP 5-D-106-C-2 • SB • Macro Spiecapag JV
2347,84067785913,"AP 4-B-97-A, AP 4-B-98-A, AP 4-B-99-A, AP 4-B-100-A-1, AP 4-B-100-A-2 • NB • Ledcor Sicim LP"
2481,49923813616,MRPP-AP 11 • SB • Ledcor Sicim LP
2616,86523056182,AP 4-A-9-A • SB • Ledcor Sicim LP • 621.7
2750,22494493272,"AP 3-C-53-A, AP 3-C-55-A • NB • Ledcor Sicim LP • 557.5"
2884,29374539375,AP 4-A-42-A • NB • Ledcor Sicim LP • 669.9
3018,51967047367,AP 5-D-99-A • NB • Macro Spiecapag JV
3151,11878053845,AP 5-D-98-A • SB • Macro Spiecapag JV
3284,65070790058,"AP 4-B-112-A, AP 4-B-112-A-1 • SB • Ledcor Sicim LP • 723.9"
3419,65624404929,AP 4-A-22-A • SB • Ledcor Sicim LP • 641.1
3555,30623181508,"AP 3-C-50-B, AP 3-C-52-A • SB • Ledcor Sicim LP • 549"
3690,15639905483,"AP 3-C-Hwy 5-10, AP 3-C-Hwy 5-9 • NB • Ledcor Sicim LP • 605.5"
3825,43480204674,"AP 3-C-Hwy 5-10, AP 3-C-Hwy 5-9 • SB • Ledcor Sicim LP • 605.5"
3961,19745290983,"AP 3-C-72-B, AP 3-C-73-A • SB • Ledcor Sicim LP • 597.2"
4096,50195678222,"AP 3-A-4, AP 3-B-5, AP 3-B-6 • SB • Ledcor Sicim LP • 506"
4231,89050175791,AP 5-D-106-C-2 • NB • Macro Spiecapag JV
4365,89649936309,"AP 3-C-50-B, AP 3-C-52-A • NB • Ledcor Sicim LP • 549"
4501,15186429674,AP 5-D-99-A • SB • Macro Spiecapag JV
4635,60697328991,"AP 4-B-97-A, AP 4-B-98-A, AP 4-B-99-A, AP 4-B-100-A-1, AP 4-B-100-A-2 • SB • Ledcor Sicim LP"
4770,22667712850,"AP 4-A-53-A, AP 4-A-Hwy 5-28 • SB • Ledcor Sicim LP • 682.1"
4905,23473284594,MRPP-AP 14 • NB • Ledcor Sicim LP • 422.8
