ValidTasksIndex,AllTasksIndex,AssetNumber,AssetIdentifier,CreatedDate,UnderConstructionTime,BaselineTime,DelayTime,State,SegmentLength,CalculatedDelayTime,CalculatedState
7544,1007544,99945336683,SB HWY-5 Thompson-Nicola • 191634,5/24/2021 9:25:09 AM,225.72,211.35,0.0,,0.0,14.37,OK
490457,2509078,99945336683,SB HWY-5 Thompson-Nicola • 191634,4/28/2021 9:05:11 AM,228.25,211.35,0.0,,0.0,16.9,OK
522109,2541489,43132175891,Spread 5B - SB,4/30/2021 9:05:29 AM,72.23,53.73,0.0,,0.0,18.5,OK
918607,4450101,11350285286,"AP 3-C-64-A, AP 3-C-Hwy 5-5 and, AP 3-C-Hwy 5-6 • SB • Ledcor Sicim LP • 578.6",3/16/2021 1:00:15 AM,1.68,1.65,0.0,,0.0,0.03,OK
921354,4453225,84204357923,AP 3-C-52-E • NB • Ledcor Sicim LP • 554.6,3/16/2021 2:25:13 AM,1.63,1.62,0.0,,0.0,0.01,OK
1208034,4774665,58938837174,NB HWY-5 Fort George • 191004,3/21/2021 8:40:05 PM,151.0,150.32,0.0,,0.0,0.68,OK
1220193,4788915,48672805900,Complete Route NB • 191644,3/22/2021 9:05:08 AM,400.77,379.77,0.0,,0.0,21.0,DELAY
1220194,4788916,48672805900,Complete Route NB • 191644,3/22/2021 9:05:08 AM,400.77,379.77,0.0,,0.0,21.0,DELAY
1244661,4815827,10897197432,AP 3-B-12-A-1 • SB • Ledcor Sicim LP • 511.9,3/23/2021 5:15:14 AM,2.23,1.72,0.0,,0.0,0.51,OK
1266787,4840919,20828851697,Spread 5A - NB,3/24/2021 12:05:17 PM,115.3,111.38,0.0,,0.0,3.92,OK
1443317,6040781,48672805900,Complete Route NB • 191644,3/22/2021 9:05:08 AM,400.77,379.77,0.0,,0.0,21.0,DELAY
1902122,6907019,61630079816,AP 3-C-58-B • NB • Ledcor Sicim LP • 561.7,3/2/2021 5:31:26 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902123,6907020,57659893790,"MRPP-AP 39, MRPP-AP 40 • N/A • Ledcor Sicim LP • 468.7",3/2/2021 5:31:27 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902124,6907021,30365271053,AP 3-B-25-B • N/A • Ledcor Sicim LP • 521.7,3/2/2021 5:31:27 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902125,6907022,54509208931,MRPP-AP 2 • NB • Ledcor Sicim LP • 408.8,3/2/2021 5:31:27 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902126,6907023,81232998481,"MRPP-AP-4-A, MRPP-AP-4-B • NB • Ledcor Sicim LP • 552",3/2/2021 5:31:27 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902127,6907024,13379686298,MRPP-AP 5 • NB • Ledcor Sicim LP • 413.1,3/2/2021 5:31:28 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902128,6907025,42943539227,MRPP-AP 6 • NB • Ledcor Sicim LP • 414,3/2/2021 5:31:28 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902129,6907026,22995865667,MRPP-AP 7 • NB • Ledcor Sicim LP • 418,3/2/2021 5:31:28 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902130,6907027,63867859347,MRPP-AP 8 • NB • Ledcor Sicim LP • 418,3/2/2021 5:31:29 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902131,6907028,42450766624,MRPP-AP 9-B • NB • Ledcor Sicim LP • 419.2,3/2/2021 5:31:29 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902132,6907029,87341599215,"MRPP-AP 24-A, MRPP-AP 24-B, MRPP-AP 24-C • NB • Ledcor Sicim LP • 435.9",3/2/2021 5:31:29 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902133,6907030,43006909057,MRPP-AP 23 • NB • Ledcor Sicim LP • 434.9,3/2/2021 5:31:29 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902134,6907031,88385098243,MRPP-AP 21 • NB • Ledcor Sicim LP • 432.3,3/2/2021 5:31:30 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902135,6907032,15565314213,MRPP-AP 20 • NB • Ledcor Sicim LP • 430.8,3/2/2021 5:31:30 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902136,6907033,24425064561,MRPP-AP 19 • NB • Ledcor Sicim LP • 430,3/2/2021 5:31:30 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902137,6907034,61720250196,MRPP-AP 18-B • NB • Ledcor Sicim LP • 552,3/2/2021 5:31:31 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902138,6907035,79980814282,MRPP-AP 16 • NB • Ledcor Sicim LP • 425.6,3/2/2021 5:31:31 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902139,6907036,23368050886,MRPP-AP 15 • NB • Ledcor Sicim LP • 424.2,3/2/2021 5:31:31 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902140,6907037,84619134024,MRPP-AP 13 • NB • Ledcor Sicim LP • 422.2,3/2/2021 5:31:31 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902141,6907038,94947990555,MRPP-AP 25 • NB • Ledcor Sicim LP • 440.9,3/2/2021 5:31:32 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902142,6907039,11042076244,MRPP-AP 27B • NB • Ledcor Sicim LP • 448.1,3/2/2021 5:31:32 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902143,6907040,30783661221,MRPP-AP 28 • NB • Ledcor Sicim LP • 450.9,3/2/2021 5:31:32 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902144,6907041,91194552378,MRPP-AP 29 • NB • Ledcor Sicim LP • 451.9,3/2/2021 5:31:33 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902145,6907042,75369537619,MRPP-AP 30 • NB • Ledcor Sicim LP • 457.4,3/2/2021 5:31:33 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902146,6907043,51881464571,MRPP-AP 31 • NB • Ledcor Sicim LP • 457.4,3/2/2021 5:31:33 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902147,6907044,72495793531,MRPP-AP 37 • NB • Ledcor Sicim LP • 462.6,3/2/2021 5:31:33 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902148,6907045,32638020178,MRPP-AP 38 • NB • Ledcor Sicim LP • 464.3,3/2/2021 5:31:34 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902149,6907046,42000211195,AP-3-B-82-2 • SB • Ledcor Sicim LP • 505.2,3/2/2021 5:31:34 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902150,6907047,64277836054,"AP 3-B-10, AP 3-B-11, AP 3-B-Hwy 5-1, AP 3-B-Hwy 5-2 • SB • Ledcor Sicim LP • 509.1",3/2/2021 5:31:34 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902151,6907048,93064852668,"AP 3-B-7, AP 3-B-8, AP 3-B-9 • NB • Ledcor Sicim LP • 507",3/2/2021 5:31:35 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902152,6907049,56678162306,AP 3-B-13-A-1 • SB • Ledcor Sicim LP • 513.2,3/2/2021 5:31:35 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902153,6907050,86880789658,"AP 3-B-12-A-2, AP 3-B-12-A-3, AP 3-B-12-B-1 • N/A • Ledcor Sicim LP • 512",3/2/2021 5:31:35 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902154,6907051,73941780958,AP 3-B-15-A • N/A • Ledcor Sicim LP,3/2/2021 5:31:35 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902155,6907052,69253056052,"AP 3-B-13-A-2, AP 3-B-14-B • N/A • Ledcor Sicim LP • 514.5",3/2/2021 5:31:36 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902156,6907053,75790313444,"AP 3-B-15-A, AP 3-B-16-B • N/A • Ledcor Sicim LP • 515.1",3/2/2021 5:31:36 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902157,6907054,98626596943,"AP 3-B-17-A, AP 3-B-Hwy 5-3, AP 3-B-Hwy 5-4 • SB • Ledcor Sicim LP • 517.5",3/2/2021 5:31:37 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902158,6907055,49837909751,AP 3-B-13-A-3 • SB • Ledcor Sicim LP • 517.5,3/2/2021 5:31:37 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902159,6907056,77116901831,"AP 3-B-20-A-1, AP 3-B-23 • N/A • Ledcor Sicim LP • 518.8",3/2/2021 5:31:37 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902160,6907057,98643424243,"AP 3-B-22-A-1, AP 3-B-23-A • N/A • Ledcor Sicim LP • 519.5",3/2/2021 5:31:37 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902161,6907058,19866794678,AP 3-B-22-B • SB • Ledcor Sicim LP • 521.6,3/2/2021 5:31:38 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902162,6907059,65827538011,AP 3-B-22.1-A • NB • Ledcor Sicim LP • 521.3,3/2/2021 5:31:38 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902163,6907060,96372842175,"AP 3-B-23.1-A, AP 3-B-23.1-D • SB • Ledcor Sicim LP • 523.2",3/2/2021 5:31:38 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902164,6907061,29549024075,"AP 3-B-33-A, AP 3-C-34-A • SB • Ledcor Sicim LP • 525.9",3/2/2021 5:31:39 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902165,6907062,52288717369,"AP 3-C-35-C-1, AP 3-C-35-C-2 • N/A • Ledcor Sicim LP • 527.4",3/2/2021 5:31:39 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
