,0
0,71808680042
1,98626596943
2,14014037003
3,64277836054
4,87275350452
5,29549024075
6,65550695811
7,50686558234
8,72508698854
9,50538588386
10,54027041614
11,87832929586
12,95478901658
13,29349700190
14,63831881201
15,29374539375
16,69140817839
17,14883352284
18,11192938183
19,63412639347
20,80785719580
21,63112496169
22,51321962587
23,22865595005
24,24855910153
25,62153236820
26,66706758689
27,94060916368
28,64292408286
29,55636264388
30,84240753195
31,43109594876
32,86192158752
33,60134894346
34,65366266695
35,89259799987
36,16562293802
37,80483546640
38,74492833313
39,64270876602
40,19078590783
41,19472528492
42,11181395533
43,64413418329
44,22122224150
45,32759868200
46,97458597983
47,18235266233
48,67094374825
49,25290248946
50,61149462439
51,83015587391
52,78384552947
53,80907151023
54,35439457902
55,21139912471
56,75430625978
57,45811320178
58,79510922346
59,30176435151
60,84842326426
61,60041619645
62,15381206794
63,23023696729
64,53956931309
65,21205040197
66,26620220646
67,98128214373
68,51116578461
69,73174024548
70,12738620179
71,71201082738
72,25270109160
73,22374545720
74,40105790845
